
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
01-0385                          R26                               63   1      1   1   1 1           1 0 XSIG040077          (134-17-13)
01-0385                          R26                               63   1      2   1   1 2           2 0 GND                 (20-1-13)
01-0385                          R27                               64   1      1   1   1 1           1 0 XSIG040098          (134-22-13)
01-0385                          R27                               64   1      2   1   1 2           2 0 GND                 (20-1-13)
01-0385                          R36                               66   1      1   1   1 1           1 0 VCC                 (20-2-13)
01-0385                          R36                               66   1      2   1   1 2           2 0 VCC1_65_p04         (256-2-13)
01-0385                          R37                               65   1      1   1   1 1           1 0 VCC1_65_p04         (256-2-13)
01-0385                          R37                               65   1      2   1   1 2           2 0 GND                 (20-1-13)
01-0393                          R7                                20   1      1   1   1 1           1 0 XSIG020048          (20-46-13)
01-0393                          R7                                20   1      2   1   1 2           2 0 GND                 (20-1-13)
01-0433                          R42                               87   1      1   1   1 1           1 0 VCC5V_p04           (134-16-13)
01-0433                          R42                               87   1      2   1   1 2           2 0 XSIG040077          (134-17-13)
01-1164                          R3                                18   1      1   1   1 1           1 0 VDDA                (20-44-13)
01-1164                          R3                                18   1      2   1   1 2           2 0 XSIG020052          (20-47-13)
01-1164                          R4                                17   1      1   1   1 1           1 0 VDDA                (20-44-13)
01-1164                          R4                                17   1      2   1   1 2           2 0 XSIG020058          (20-48-13)
01-1164                          R5                                16   1      1   1   1 1           1 0 VDDA                (20-44-13)
01-1164                          R5                                16   1      2   1   1 2           2 0 XSIG020019          (20-41-13)
01-1164                          R6                                15   1      1   1   1 1           1 0 VDDA                (20-44-13)
01-1164                          R6                                15   1      2   1   1 2           2 0 XSIG020020          (20-42-13)
10-0006                          C9                                21   1      1   1   1 1           1 0 VDDA                (20-44-13)
10-0006                          C9                                21   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0026                          C22                              104   1      1   1   1 1           1 0 XSIG020121          (93-7-13)
10-0026                          C22                              104   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0026                          C23                              105   1      1   1   1 1           1 0 XSIG020122          (93-8-13)
10-0026                          C23                              105   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0030                          C1                                 5   1      1   1   1 1           1 0 XSIG011191          (20-32-13)
10-0030                          C1                                 5   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0030                          C2                                 6   1      1   1   1 1           1 0 XSIG011193          (20-33-13)
10-0030                          C2                                 6   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0046                          C32                              111   1      1   1   1 1           1 0 VCC5V_p04           (134-16-13)
10-0046                          C32                              111   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0046                          C33                              112   1      1   1   1 1           1 0 VCC                 (20-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0046                          C33                              112   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0056                          C31                               68   1      1   1   1 1           1 0 VCC15V_p04          (134-12-13)
10-0056                          C31                               68   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C11                               92   1      1   1   1 1           1 0 GND                 (20-1-13)
10-0057                          C11                               92   1      2   1   1 2           2 0 VCC                 (20-2-13)
10-0057                          C12                               94   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C12                               94   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C13                               93   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C13                               93   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C14                               99   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C14                               99   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C15                               98   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C15                               98   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C16                               96   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C16                               96   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C17                               95   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C17                               95   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C18                               97   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C18                               97   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0059                          C5                                12   1      1   1   1 1           1 0 GND                 (20-1-13)
10-0059                          C5                                12   1      2   1   1 2           2 0 VDDA                (20-44-13)
10-0059                          C6                                13   1      1   1   1 1           1 0 GND                 (20-1-13)
10-0059                          C6                                13   1      2   1   1 2           2 0 VDDA                (20-44-13)
10-0059                          C7                                14   1      1   1   1 1           1 0 GND                 (20-1-13)
10-0059                          C7                                14   1      2   1   1 2           2 0 VCC                 (20-2-13)
10-0060                          C20                              102   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0060                          C20                              102   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0060                          C21                              101   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0060                          C21                              101   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0070                          C26                               37   1      1   1   1 1           1 0 XSIG040075          (134-15-13)
10-0070                          C26                               37   1      2   1   1 2           2 0 XSIG040073          (134-14-13)
10-0070                          C27                               38   1      1   1   1 1           1 0 XSIG040092          (134-21-13)
10-0070                          C27                               38   1      2   1   1 2           2 0 XSIG040090          (134-20-13)
10-0070                          C28                               36   1      1   1   1 1           1 0 VCC15V_p04          (134-12-13)
10-0070                          C28                               36   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0071                          C8                                19   1      1   1   1 1           1 0 XSIG020047          (20-45-13)
10-0071                          C8                                19   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0075                          C19                              100   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0075                          C19                              100   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0105                          C24                                7   1      1   1   1 1           1 0 XSIG040066          (134-13-13)
10-0105                          C24                                7   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0105                          C25                                8   1      1   1   1 1           1 0 XSIG040085          (134-19-13)
10-0105                          C25                                8   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0112                          C3                                89   1      1   1   1 1           1 0 XSIG011226          (93-3-13)
10-0112                          C3                                89   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0112                          C4                                90   1      1   1   1 1           1 0 XSIG011225          (93-2-13)
10-0112                          C4                                90   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0112                          C10                               91   1      1   1   1 1           1 0 XSIG020047          (20-45-13)
10-0112                          C10                               91   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0120                          C29                               49   1      1   1   1 1           1 0 VCC5V_p04           (134-16-13)
10-0120                          C29                               49   1      2   1   1 2           2 0 GND                 (20-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0120                          C30                               50   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0120                          C30                               50   1      2   1   1 2           2 0 GND                 (20-1-13)
20-0001                          D2                               108   1      1   1   1 2           2 0 GND                 (20-1-13)
20-0001                          D2                               108   1      2   2   1 1           1 0 XSIG040073          (134-14-13)
20-0019                          D3                               109   1      1   1   1 2           2 0 VCC5V_p04           (134-16-13)
20-0019                          D3                               109   1      2   2   1 1           1 0 XSIG040075          (134-15-13)
20-0019                          D4                               110   1      1   1   1 2           2 0 VCC                 (20-2-13)
20-0019                          D4                               110   1      2   2   1 1           1 0 XSIG040092          (134-21-13)
20-0035                          D5                               114   1      1   1   1 2           2 0 GND                 (20-1-13)
20-0035                          D5                               114   1      2   2   1 1           1 0 XSIG040090          (134-20-13)
20-0037                          D1                                28   1      1   1   1 2           2 0 XSIG030261          (93-14-13)
20-0037                          D1                                28   1      2   2   1 1           1 0 GND                 (20-1-13)
30-0025                          Q1                               107   1      1   1   1 3           3 0 XSIG030262          (93-15-13)
30-0025                          Q1                               107   1      2   2   1 1           1 0 LASERS_MUTE         (20-60-13)
30-0025                          Q1                               107   1      3   3   1 2           2 0 VCC5V_p03           (108-4-13)
