
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0293                          U1                                 3   4     25  25  13 38         38 0                     (0-0-0)
40-0293                          U1                                 3   4     26  26  13 39         39 0                     (0-0-0)
40-0293                          U1                                 3   4     27  27  13 40         40 0                     (0-0-0)
40-0293                          U1                                 3   4     28  28  13 41         41 0                     (0-0-0)
40-0293                          U1                                 3   4     29  29  13 42         42 0                     (0-0-0)
40-0293                          U1                                 3   4     30  30  13 43         43 0                     (0-0-0)
40-0293                          U1                                 3   4     31  31  13 44         44 0                     (0-0-0)
40-0293                          U1                                 3   4     32  32  13 45         45 0                     (0-0-0)
40-0313                          U2                                 9   1      1   1   1 11         12 0 XSIG020117          (20-58-13)
40-0313                          U2                                 9   1      2   2   1 3           4 0 LED1                (20-49-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0313                          U2                                 9   1      3   3   1 2           3 0 LED2                (20-50-13)
40-0313                          U2                                 9   1      4   4   1 13         14 0 ETH_MDC             (20-28-13)
40-0313                          U2                                 9   1      5   5   1 12         13 0 ETH_MDIO            (20-27-13)
40-0313                          U2                                 9   1      6   6   1 14         15 0 XSIG020135          (93-10-13)
40-0313                          U2                                 9   1      7   7   1 24         25 0 XSIG020048          (20-46-13)
40-0313                          U2                                 9   1      8   8   1 15         16 0 F7RSTn              (256-1-13)
40-0313                          U2                                 9   1      9   9   1 8           9 0 XSIG020113          (20-56-13)
40-0313                          U2                                 9   1     10  10   1 7           8 0 XSIG020116          (20-57-13)
40-0313                          U2                                 9   1     11  11   1 10         11 0 XSIG020137          (108-2-13)
40-0313                          U2                                 9   1     12  12   1 22         23 0 XSIG020020          (20-42-13)
40-0313                          U2                                 9   1     13  13   1 23         24 0 XSIG020019          (20-41-13)
40-0313                          U2                                 9   1     14  14   1 17         18 0 RMII_TXD0           (20-13-13)
40-0313                          U2                                 9   1     15  15   1 18         19 0 RMII_TXD1           (20-14-13)
40-0313                          U2                                 9   1     16  16   1 16         17 0 RMII_TX_EN          (20-26-13)
40-0313                          U2                                 9   1     17  17   1 20         21 0 XSIG020058          (20-48-13)
40-0313                          U2                                 9   1     18  18   1 21         22 0 XSIG020052          (20-47-13)
40-0313                          U2                                 9   1     19  19   1 6           7 0 XSIG020047          (20-45-13)
40-0313                          U2                                 9   1     20  20   1 19         20 0 VDDA                (20-44-13)
40-0313                          U2                                 9   1     21  21   1 1           2 0 VDDA                (20-44-13)
40-0313                          U2                                 9   1     22  22   1 5           6 0 XSIG020121          (93-7-13)
40-0313                          U2                                 9   1     23  23   1 4           5 0 XSIG020122          (93-8-13)
40-0313                          U2                                 9   2      1   1   2 9          10 0 VCC                 (20-2-13)
40-0313                          U2                                 9   3      1   1   3 E           1 0 GND                 (20-1-13)
40-0321                          U7                                74   1      1   1   1 4           4 0 GND                 (20-1-13)
40-0321                          U7                                74   1      2   2   1 3           3 0 XSIG030208          (20-85-13)
40-0321                          U7                                74   1      3   3   1 2           2 0 XSIG030207          (20-84-13)
40-0321                          U7                                74   1      4   4   1 1           1 0 AUDIO_L             (216-3-13)
40-0321                          U7                                74   1      5   5   1 8           8 0 VCC                 (20-2-13)
40-0321                          U7                                75   1      1   1   2 4           4 0 GND                 (20-1-13)
40-0321                          U7                                75   1      2   2   2 5           5 0 XSIG030219          (20-89-13)
40-0321                          U7                                75   1      3   3   2 6           6 0 XSIG030217          (20-88-13)
40-0321                          U7                                75   1      4   4   2 7           7 0 AUDIO_R             (216-2-13)
40-0321                          U7                                75   1      5   5   2 8           8 0 VCC                 (20-2-13)
40-0354                          U3                                41   1      1   1   1 6           6 0 SPI_F72MAX_NSS      (20-17-13)
40-0354                          U3                                41   1      2   2   1 7           7 0 SPI_F72MAX_MOSI     (20-12-13)
40-0354                          U3                                41   1      3   3   1 8           8 0 SPI_F72MAX_MISO     (20-11-13)
40-0354                          U3                                41   1      4   4   1 9           9 0 LASERS_MUTE         (20-60-13)
40-0354                          U3                                41   1      5   5   1 18         18 0 LASER_RED           (20-74-13)
40-0354                          U3                                41   1      6   6   1 17         17 0 LASER_GREEN         (20-76-13)
40-0354                          U3                                41   1      7   7   1 16         16 0 LASER_BLUE          (20-78-13)
40-0354                          U3                                41   1      8   8   1 15         15 0 XSIG030038          (20-61-13)
40-0354                          U3                                41   1      9   9   1 4           4 0 XSIG030268          (108-7-13)
40-0354                          U3                                41   1     10  10   1 2           2 0 VCC5V_p03           (108-4-13)
40-0354                          U3                                41   1     11  11   1 1           1 0 VCC5V_p03           (108-4-13)
40-0354                          U3                                41   1     12  12   1 20         20 0 VCC5V_p03           (108-4-13)
40-0354                          U3                                41   1     13  13   1 19         19 0 VCC5V_p03           (108-4-13)
40-0354                          U3                                41   1     14  14   1 11         11 0 GND                 (20-1-13)
40-0354                          U3                                41   1     15  15   1 12         12 0 GND                 (20-1-13)
40-0354                          U3                                41   1     16  16   1 13         13 0 GND                 (20-1-13)
40-0354                          U3                                41   1     17  17   1 14         14 0 GND                 (20-1-13)
40-0354                          U3                                41   1     18  18   1 5           5 0 SPI_F72MAX_SCK      (20-10-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0354                          U3                                41   2      1   1   2 3           3 0 VCC5V_p03           (108-4-13)
40-0354                          U3                                41   3      1   1   3 10         10 0 GND                 (20-1-13)
50-0005                          L1                                11   1      1   1   1 1           1 0 VCC                 (20-2-13)
50-0005                          L1                                11   1      2   1   1 2           2 0 VDDA                (20-44-13)
50-0044                          L2                                51   1      1   1   1 1           1 0 XSIG040073          (134-14-13)
50-0044                          L2                                51   1      2   2   1 2           2 0 VCC5V_p04           (134-16-13)
50-0044                          L3                                52   1      1   1   1 1           1 0 XSIG040090          (134-20-13)
50-0044                          L3                                52   1      2   2   1 2           2 0 VCC                 (20-2-13)
70-0003                          J8                                24   1      1   1   1 1           1 0 GALVA_DRIVERX_IN-   (20-68-13)
70-0003                          J8                                24   1      2   2   1 2           2 0 GALVA_DRIVERX_IN+   (20-63-13)
70-0003                          J8                                24   1      3   3   1 3           3 0 GND                 (20-1-13)
70-0003                          J9                                25   1      1   1   1 1           1 0 GALVA_DRIVERX_IN-   (20-68-13)
70-0003                          J9                                25   1      2   2   1 2           2 0 GALVA_DRIVERX_IN+   (20-63-13)
70-0003                          J9                                25   1      3   3   1 3           3 0 GND                 (20-1-13)
70-0003                          J10                               22   1      1   1   1 1           1 0 VCC                 (20-2-13)
70-0003                          J10                               22   1      2   2   1 2           2 0 XSIG011236          (93-5-13)
70-0003                          J10                               22   1      3   3   1 3           3 0 GND                 (20-1-13)
70-0003                          J11                               23   1      1   1   1 1           1 0 VCC                 (20-2-13)
70-0003                          J11                               23   1      2   2   1 2           2 0 XSIG011235          (93-4-13)
70-0003                          J11                               23   1      3   3   1 3           3 0 GND                 (20-1-13)
70-0003                          J14                               26   1      1   1   1 1           1 0 VCC15V_p04          (134-12-13)
70-0003                          J14                               26   1      2   2   1 2           2 0 GND                 (20-1-13)
70-0003                          J14                               26   1      3   3   1 3           3 0 VCC-15V_p04         (134-18-13)
70-0010                          J12                               84   1      1   1   1 S           1 0 GND                 (20-1-13)
70-0010                          J12                               84   1      2   2   1 T           2 0 XSIG030214          (20-87-13)
70-0010                          J12                               84   1      3   3   1 TS          3 0 GND                 (20-1-13)
70-0011                          J13                               85   1      1   1   1 S           1 0 GND                 (20-1-13)
70-0011                          J13                               85   1      2   2   1 T           2 0 XSIG030223          (20-90-13)
70-0011                          J13                               85   1      3   3   1 TS          3 0 GND                 (20-1-13)
70-0015                          J2                                86   1      1   1   1 1           1 0 VCC15V              (134-8-13)
70-0015                          J2                                86   1      2   2   1 2           2 0 VCC-15V             (134-7-13)
70-0015                          J2                                86   1      3   3   1 3           3 0 VCC                 (20-2-13)
70-0015                          J2                                86   1      4   4   1 4           4 0 VCC5V_p03           (108-4-13)
70-0015                          J2                                86   1      5   5   1 5           5 0 SPI_F72F1_NSS       (20-20-13)
70-0015                          J2                                86   1      6   6   1 6           6 0 SPI_F72F1_SCK       (20-21-13)
70-0015                          J2                                86   1      7   7   1 7           7 0 SPI_F72F1_MISO      (20-15-13)
70-0015                          J2                                86   1      8   8   1 8           8 0 SPI_F72F1_MOSI      (20-16-13)
70-0015                          J2                                86   1      9   9   1 9           9 0 LASERS_MUTE         (20-60-13)
70-0015                          J2                                86   1     10  10   1 10         10 0 GND                 (20-1-13)
70-0058                          J7                                67   1      1   1   1 3           7 0 SD_CMD              (20-38-13)
70-0058                          J7                                67   1      2   2   1 7          11 0 SD_D0               (20-39-13)
70-0058                          J7                                67   1      3   3   1 8          12 0 SD_D1               (20-40-13)
70-0058                          J7                                67   1      4   4   1 1           5 0 SD_D2               (20-35-13)
70-0058                          J7                                67   1      5   5   1 2           6 0 SD_D3               (20-36-13)
70-0058                          J7                                67   1      6   6   1 6          10 0 GND                 (20-1-13)
70-0058                          J7                                67   1      7   7   1 5           9 0 SD_CK               (20-37-13)
70-0058                          J7                                67   1      8   8   1 GND1        1 0 GND                 (20-1-13)
70-0058                          J7                                67   1      9   9   1 GND2        2 0 GND                 (20-1-13)
70-0058                          J7                                67   1     10  10   1 GND3        3 0 GND                 (20-1-13)
70-0058                          J7                                67   1     11  11   1 GND4        4 0 GND                 (20-1-13)
70-0058                          J7                                67   1     12  12   1 4           8 0 VCC                 (20-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0066                          J4                                42   1      1   1   1 MA          1 0 GND                 (20-1-13)
70-0066                          J4                                42   1      2   2   1 MB          2 0 GND                 (20-1-13)
70-0066                          J4                                42   1      3   3   1 1           3 0 LASER_RED           (20-74-13)
70-0066                          J4                                42   1      4   4   1 2           4 0 GND                 (20-1-13)
70-0066                          J5                                43   1      1   1   1 MA          1 0 GND                 (20-1-13)
70-0066                          J5                                43   1      2   2   1 MB          2 0 GND                 (20-1-13)
70-0066                          J5                                43   1      3   3   1 1           3 0 LASER_GREEN         (20-76-13)
70-0066                          J5                                43   1      4   4   1 2           4 0 GND                 (20-1-13)
70-0066                          J6                                44   1      1   1   1 MA          1 0 GND                 (20-1-13)
70-0066                          J6                                44   1      2   2   1 MB          2 0 GND                 (20-1-13)
70-0066                          J6                                44   1      3   3   1 1           3 0 LASER_BLUE          (20-78-13)
70-0066                          J6                                44   1      4   4   1 2           4 0 GND                 (20-1-13)
70-0081                          J1                                 1   1      1   1   1 1           1 0 VCC                 (20-2-13)
70-0081                          J1                                 1   1      2   2   1 2           2 0 F7SWDAT             (20-4-13)
70-0081                          J1                                 1   1      3   3   1 3           3 0 GND                 (20-1-13)
70-0081                          J1                                 1   1      4   4   1 4           4 0 F7SWCLK             (20-3-13)
70-0081                          J1                                 1   1      5   5   1 5           5 0 GND                 (20-1-13)
70-0081                          J1                                 1   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J1                                 1   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J1                                 1   1      8   8   1 9           9 0 GND                 (20-1-13)
70-0081                          J1                                 1   1      9   9   1 10         10 0 F7RSTn_p02          (227-1-13)
70-0081                          J1                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0102                          J3                                10   1      1   1   1 L1          1 0 LED1                (20-49-13)
70-0102                          J3                                10   1      2   2   1 L3          3 0 LED2                (20-50-13)
70-0102                          J3                                10   1      3   3   1 R3          7 0 VDDA                (20-44-13)
70-0102                          J3                                10   1      4   4   1 L2          2 0 XSIG020100          (20-54-13)
70-0102                          J3                                10   1      5   5   1 L4          4 0 XSIG020132          (93-9-13)
70-0102                          J3                                10   1      6   6   1 R7         11 0 XSIG020019          (20-41-13)
70-0102                          J3                                10   1      7   7   1 R8         12 0 XSIG020020          (20-42-13)
70-0102                          J3                                10   1      8   8   1 S2         14 0 GND                 (20-1-13)
70-0102                          J3                                10   1      9   9   1 R1          5 0 XSIG020052          (20-47-13)
70-0102                          J3                                10   1     10  10   1 R2          6 0 XSIG020058          (20-48-13)
70-0102                          J3                                10   2      1   1   2 S1         13 0 GND                 (20-1-13)
70-0102                          J3                                 0   3      1   1   3 R4          8 1                     (0-0-0)
70-0102                          J3                                 0   3      1   1   4 R5          9 1                     (0-0-0)
70-0102                          J3                                 0   3      1   1   5 R6         10 1                     (0-0-0)
80-0073                          U6                                88   1      1   1   1 20         20 0                     (0-0-0)
80-0073                          U6                                88   1      2   2   1 2           2 0                     (0-0-0)
80-0073                          U6                                88   1      3   3   1 18         18 0                     (0-0-0)
80-0073                          U6                                88   1      4   4   1 1           1 0 VCC5V               (20-67-13)
80-0073                          U6                                88   1      5   5   1 25         25 0                     (0-0-0)
80-0073                          U6                                88   1      6   6   1 24         24 0                     (0-0-0)
80-0073                          U6                                88   1      7   7   1 26         26 0                     (0-0-0)
80-0073                          U6                                88   1      8   8   1 29         29 0                     (0-0-0)
80-0073                          U6                                88   1      9   9   1 7           7 0                     (0-0-0)
80-0073                          U6                                88   1     10  10   1 5           5 0                     (0-0-0)
80-0073                          U6                                88   1     11  11   1 8           8 0                     (0-0-0)
80-0073                          U6                                88   1     12  12   1 23         23 0                     (0-0-0)
80-0073                          U6                                88   1     13  13   1 27         27 0                     (0-0-0)
80-0073                          U6                                88   1     14  14   1 28         28 0                     (0-0-0)
80-0073                          U6                                88   1     15  15   1 30         30 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
80-0073                          U6                                88   1     16  16   1 31         31 0                     (0-0-0)
80-0073                          U6                                88   1     17  17   1 33         33 0                     (0-0-0)
80-0073                          U6                                88   1     18  18   1 36         36 0                     (0-0-0)
80-0073                          U6                                88   1     19  19   1 37         37 0                     (0-0-0)
80-0073                          U6                                88   1     20  20   1 11         11 0                     (0-0-0)
80-0073                          U6                                88   1     21  21   1 10         10 0                     (0-0-0)
80-0073                          U6                                88   1     22  22   1 9           9 0                     (0-0-0)
80-0073                          U6                                88   1     23  23   1 13         13 0                     (0-0-0)
80-0073                          U6                                88   1     24  24   1 12         12 0                     (0-0-0)
80-0073                          U6                                88   1     25  25   1 15         15 0                     (0-0-0)
80-0073                          U6                                88   1     26  26   1 14         14 0                     (0-0-0)
80-0073                          U6                                88   1     27  27   1 34         34 0 UART_F72ESP         (20-100-13)
80-0073                          U6                                88   1     28  28   1 22         22 0                     (0-0-0)
80-0073                          U6                                88   1     29  29   1 21         21 0                     (0-0-0)
80-0073                          U6                                88   1     30  30   1 4           4 0                     (0-0-0)
80-0073                          U6                                88   1     31  31   1 3           3 0                     (0-0-0)
80-0073                          U6                                88   1     32  32   1 16         16 0                     (0-0-0)
80-0073                          U6                                88   1     33  33   1 17         17 0                     (0-0-0)
80-0073                          U6                                88   1     34  34   1 35         35 0 UART_ESP2F7         (20-99-13)
80-0073                          U6                                88   1     35  35   1 19         19 0                     (0-0-0)
80-0073                          U6                                88   2      1   1   2 6           6 0 GND                 (20-1-13)
80-0073                          U6                                88   2      1   1   3 32         32 0 GND                 (20-1-13)
80-0073                          U6                                88   2      1   1   4 38         38 0 GND                 (20-1-13)
81-0006                          QZ2                              103   1      1   1   1 1           1 0 XSIG020121          (93-7-13)
81-0006                          QZ2                              103   1      2   2   1 2           2 0 XSIG020122          (93-8-13)
81-0013                          QZ1                                4   1      1   1   1 1           1 0 XSIG011191          (20-32-13)
81-0013                          QZ1                                4   1      2   2   1 2           2 0 XSIG011193          (20-33-13)
