
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
01-0339                          R41                               59   1      1   1   1 1           1 0 GALVA_Y             (20-19-13)
01-0339                          R41                               59   1      2   1   1 2           2 0 XSIG030299          (134-10-13)
01-0385                          R1                                54   1      1   1   1 1           1 0 XSIG030281          (134-5-13)
01-0385                          R1                                54   1      2   1   1 2           2 0 GALVA_DRIVERX_N     (20-68-13)
01-0385                          R12                               52   1      1   1   1 1           1 0 VCC5V               (20-67-13)
01-0385                          R12                               52   1      2   1   1 2           2 0 XSIG030279          (134-4-13)
01-0385                          R13                               53   1      1   1   1 1           1 0 XSIG030284          (134-6-13)
01-0385                          R13                               53   1      2   1   1 2           2 0 GALVA_DRIVERX_P     (20-63-13)
01-0385                          R20                               55   1      1   1   1 1           1 0 XSIG030284          (134-6-13)
01-0385                          R20                               55   1      2   1   1 2           2 0 GALVA_DRIVERX_N     (20-68-13)
01-0385                          R21                               48   1      1   1   1 1           1 0 XSIG030299          (134-10-13)
01-0385                          R21                               48   1      2   1   1 2           2 0 GALVA_DRIVERY_N     (289-1-13)
01-0385                          R23                               51   1      1   1   1 1           1 0 VCC5V               (20-67-13)
01-0385                          R23                               51   1      2   1   1 2           2 0 XSIG030297          (134-9-13)
01-0385                          R24                               50   1      1   1   1 1           1 0 XSIG030303          (134-11-13)
01-0385                          R24                               50   1      2   1   1 2           2 0 GALVA_DRIVERY_P     (289-2-13)
01-0385                          R25                               49   1      1   1   1 1           1 0 XSIG030303          (134-11-13)
01-0385                          R25                               49   1      2   1   1 2           2 0 GALVA_DRIVERY_N     (289-1-13)
01-0385                          R27                               56   1      1   1   1 1           1 0 XSIG040098          (134-22-13)
01-0385                          R27                               56   1      2   1   1 2           2 0 GND                 (20-1-13)
01-0385                          R36                               47   1      1   1   1 1           1 0 VCC                 (20-2-13)
